first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,can_select,chance_of_playing_next_round,points_per_game,penalties_saved,form,expected_goal_involvements,Predicted Points
Joelinton Cássio,Apolinário de Lira,4,1,79,2005,26,321.0,396.4,397,11,20.0,111.7,8,0,9,1.1,60,MID,1,100.0,3.3,0,1.0,5.19,71.249916
Lloyd,Kelly,0,1,12,299,6,29.0,80.6,20,0,0.0,12.6,0,0,2,0.1,42,DEF,0,0.0,1.2,0,0.0,0.52,9.246977
Emil,Krafth,0,0,11,241,2,10.9,44.2,11,0,0.0,6.6,1,0,0,0.1,43,DEF,1,100.0,2.8,0,0.0,0.07,34.26587
Garang,Kuol,0,0,0,0,0,0.0,0.0,0,0,9.0,0.0,0,0,0,0.1,44,MID,1,,0.0,0,0.0,0.0,0.7578843
Jamaal,Lascelles,0,0,0,0,0,0.0,0.0,0,0,1.0,0.0,0,0,0,0.0,45,DEF,1,0.0,0.0,0,0.0,0.0,0.7578843
Jamal,Lewis,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.1,40,DEF,0,0.0,0.0,0,0.0,0.0,0.7578843
Tino,Livramento,0,0,65,1935,31,215.9,384.4,57,3,148.0,65.8,6,0,1,1.8,45,DEF,1,100.0,2.4,0,2.7,1.07,55.10598
Sean,Longstaff,0,1,30,734,11,75.8,104.4,76,0,275.0,25.7,2,0,2,0.4,45,MID,1,,1.4,0,0.7,0.82,17.341824
Lewis,Miley,1,0,15,188,4,21.8,72.0,43,1,309.0,13.7,0,0,0,0.0,50,MID,1,100.0,1.9,0,3.0,0.66,32.36912
Odysseas,Vlachodimos,0,0,0,0,0,0.0,0.0,0,0,311.0,0.0,0,0,0,0.1,42,GK,1,,0.0,0,0.0,0.0,0.7578843
Nick,Pope,0,0,56,1620,26,0.0,428.4,0,2,0.0,42.7,4,0,2,3.4,49,GK,1,100.0,3.1,0,2.7,0.0,63.81704
John,Ruddy,0,0,0,0,0,0.0,0.0,0,0,331.0,0.0,0,0,0,0.3,39,GK,1,,0.0,0,0.0,0.0,0.7578843
Fabian,Schär,2,0,66,2052,33,73.2,497.0,172,0,209.0,73.8,7,1,5,1.5,54,DEF,1,100.0,2.8,0,2.7,2.56,59.96658
Matt,Targett,0,0,1,12,0,1.0,2.4,0,0,0.0,0.3,0,0,0,0.3,39,DEF,1,100.0,1.0,0,0.0,0.0,1.4202721
Sandro,Tonali,1,1,56,1725,25,225.4,292.6,192,2,0.0,71.0,7,0,5,0.4,55,MID,1,100.0,2.2,0,2.0,4.34,49.81213
Kieran,Trippier,0,0,34,688,10,163.6,120.0,15,4,0.0,30.0,3,0,1,3.4,56,DEF,1,100.0,2.0,0,3.0,0.63,39.613884
Joe,White,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.1,45,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
